site_name,month,month_name,avg_enterococci,samples,poor_pct
Mt Martha Life Saving Club,4,Apr,47.89,9,11.11
Mt Martha Life Saving Club,5,May,32.33,6,0.0
Mt Martha Life Saving Club,6,Jun,30.25,8,0.0
Mt Martha Life Saving Club,7,Jul,7.5,4,0.0
Mt Martha Life Saving Club,8,Aug,29.5,4,0.0
Mt Martha Life Saving Club,9,Sep,14.75,8,0.0
Mt Martha Life Saving Club,10,Oct,6.0,10,0.0
Mt Martha Life Saving Club,11,Nov,208.18,11,36.36
Mt Martha Life Saving Club,12,Dec,246.77,22,13.64
Port Melbourne,1,Jan,312.28,29,24.14
Port Melbourne,2,Feb,55.88,25,4.0
Port Melbourne,3,Mar,1332.69,13,7.69
Port Melbourne,4,Apr,765.11,9,22.22
Port Melbourne,5,May,57.5,6,16.67
Port Melbourne,6,Jun,152.5,8,25.0
Port Melbourne,7,Jul,480.0,4,25.0
Port Melbourne,8,Aug,20.25,4,0.0
Port Melbourne,9,Sep,241.62,8,25.0
Port Melbourne,10,Oct,413.11,9,22.22
Port Melbourne,11,Nov,278.73,11,27.27
Port Melbourne,12,Dec,341.58,24,25.0
Portarlington Beach (new site),1,Jan,67.79,34,5.88
Portarlington Beach (new site),2,Feb,37.86,28,0.0
Portarlington Beach (new site),3,Mar,58.06,17,5.88
Portarlington Beach (new site),4,Apr,36.23,13,0.0
Portarlington Beach (new site),5,May,16.62,8,0.0
Portarlington Beach (new site),6,Jun,27.5,8,0.0
Portarlington Beach (new site),7,Jul,77.5,4,25.0
Portarlington Beach (new site),8,Aug,6.25,4,0.0
Portarlington Beach (new site),9,Sep,32.12,8,0.0
Portarlington Beach (new site),10,Oct,154.82,11,9.09
Portarlington Beach (new site),11,Nov,44.19,16,0.0
Portarlington Beach (new site),12,Dec,54.57,28,10.71
Portsea,1,Jan,15.23,26,0.0
Portsea,2,Feb,7.39,23,0.0
Portsea,3,Mar,13.67,12,0.0
Portsea,4,Apr,15.44,9,0.0
Portsea,5,May,11.67,6,0.0
Portsea,6,Jun,9.5,8,0.0
Portsea,7,Jul,51.75,4,0.0
Portsea,8,Aug,5.0,4,0.0
Portsea,9,Sep,6.88,8,0.0
Portsea,10,Oct,17.7,10,0.0
Portsea,11,Nov,8.0,10,0.0
Portsea,12,Dec,12.27,22,0.0
Rosebud Life Saving Club,1,Jan,38.93,28,0.0
Rosebud Life Saving Club,2,Feb,34.12,25,4.0
Rosebud Life Saving Club,3,Mar,42.38,13,7.69
Rosebud Life Saving Club,4,Apr,355.11,9,11.11
Rosebud Life Saving Club,5,May,67.33,6,0.0
Rosebud Life Saving Club,6,Jun,74.75,8,12.5
Rosebud Life Saving Club,7,Jul,10.0,4,0.0
Rosebud Life Saving Club,8,Aug,6.25,4,0.0
Rosebud Life Saving Club,9,Sep,62.12,8,12.5
Rosebud Life Saving Club,10,Oct,32.4,10,0.0
Rosebud Life Saving Club,11,Nov,371.82,11,27.27
Rosebud Life Saving Club,12,Dec,151.38,24,20.83
Rye,1,Jan,73.59,29,13.79
Rye,2,Feb,28.48,25,0.0
Rye,3,Mar,86.85,13,7.69
Rye,4,Apr,161.22,9,11.11
Rye,5,May,71.83,6,0.0
Rye,6,Jun,141.12,8,12.5
Rye,7,Jul,78.25,4,0.0
Rye,8,Aug,91.0,4,25.0
Rye,9,Sep,66.0,8,12.5
Rye,10,Oct,81.4,10,10.0
Rye,11,Nov,159.82,11,27.27
Rye,12,Dec,338.58,24,37.5
Safety Beach,1,Jan,21.68,28,0.0
Safety Beach,2,Feb,10.96,25,0.0
Safety Beach,3,Mar,54.62,13,0.0
Safety Beach,4,Apr,268.33,9,22.22
Safety Beach,5,May,36.17,6,0.0
Safety Beach,6,Jun,62.88,8,12.5
Safety Beach,7,Jul,5.0,3,0.0
Safety Beach,8,Aug,5.0,4,0.0
Safety Beach,9,Sep,26.88,8,0.0
Safety Beach,10,Oct,8.6,10,0.0
Safety Beach,11,Nov,444.55,11,36.36
Safety Beach,12,Dec,110.42,24,20.83
Sandridge,1,Jan,332.29,28,7.14
Sandridge,2,Feb,22.84,25,0.0
Sandridge,3,Mar,38.38,13,7.69
Sandridge,4,Apr,101.67,9,22.22
Sandridge,5,May,45.83,6,16.67
Sandridge,6,Jun,64.88,8,12.5
Sandridge,7,Jul,60.0,4,25.0
Sandridge,8,Aug,24.25,4,0.0
Sandridge,9,Sep,397.0,8,37.5
Sandridge,10,Oct,231.56,9,11.11
Sandridge,11,Nov,234.27,11,27.27
Sandridge,12,Dec,203.29,24,25.0
Sandringham,1,Jan,22.92,26,0.0
Sandringham,2,Feb,28.44,25,4.0
Sandringham,3,Mar,19.71,14,0.0
Sandringham,4,Apr,196.44,9,11.11
Sandringham,5,May,874.17,6,16.67
Sandringham,6,Jun,87.75,8,12.5
Sandringham,7,Jul,386.5,4,25.0
Sandringham,8,Aug,5.0,4,0.0
Sandringham,9,Sep,33.25,8,0.0
Sandringham,10,Oct,16.11,9,0.0
Sandringham,11,Nov,172.82,11,18.18
Sandringham,12,Dec,51.83,23,8.7
Santa Casa,1,Jan,9.55,29,0.0
Santa Casa,2,Feb,7.44,25,0.0
Santa Casa,3,Mar,5.38,13,0.0
Santa Casa,4,Apr,5.0,9,0.0
Santa Casa,5,May,13.38,8,0.0
Santa Casa,6,Jun,6.88,8,0.0
Santa Casa,7,Jul,8.75,4,0.0
Santa Casa,8,Aug,5.0,4,0.0
Santa Casa,9,Sep,10.75,8,0.0
Santa Casa,10,Oct,8.0,10,0.0
Santa Casa,11,Nov,24.91,11,0.0
Santa Casa,12,Dec,70.71,24,4.17
Seaford,1,Jan,38.46,28,0.0
Seaford,2,Feb,34.0,25,4.0
Seaford,3,Mar,54.0,13,15.38
Seaford,4,Apr,503.33,9,11.11
Seaford,5,May,56.0,6,0.0
Seaford,6,Jun,86.62,8,12.5
Seaford,7,Jul,8.75,4,0.0
Seaford,8,Aug,8.75,4,0.0
Seaford,9,Sep,92.25,8,25.0
Seaford,10,Oct,20.2,10,0.0
Seaford,11,Nov,136.27,11,27.27
Seaford,12,Dec,133.04,24,25.0
Sorrento,1,Jan,43.25,28,3.57
Sorrento,2,Feb,61.96,25,8.0
Sorrento,3,Mar,33.92,13,0.0
Sorrento,4,Apr,39.44,9,0.0
Sorrento,5,May,17.67,6,0.0
Sorrento,6,Jun,25.38,8,0.0
Sorrento,7,Jul,109.25,4,25.0
Sorrento,8,Aug,8.75,4,0.0
Sorrento,9,Sep,25.75,8,0.0
Sorrento,10,Oct,43.7,10,10.0
Sorrento,11,Nov,39.27,11,0.0
Sorrento,12,Dec,135.08,24,20.83
South Melbourne Life Saving Club,1,Jan,182.14,28,17.86
South Melbourne Life Saving Club,2,Feb,12.4,25,0.0
South Melbourne Life Saving Club,3,Mar,27.0,13,0.0
South Melbourne Life Saving Club,4,Apr,127.89,9,11.11
South Melbourne Life Saving Club,5,May,31.0,6,0.0
South Melbourne Life Saving Club,6,Jun,41.62,8,0.0
South Melbourne Life Saving Club,7,Jul,22.25,4,0.0
South Melbourne Life Saving Club,8,Aug,53.75,4,0.0
South Melbourne Life Saving Club,9,Sep,186.88,8,25.0
South Melbourne Life Saving Club,10,Oct,31.89,9,0.0
South Melbourne Life Saving Club,11,Nov,229.73,11,36.36
South Melbourne Life Saving Club,12,Dec,74.67,24,12.5
St Kilda,1,Jan,304.39,28,21.43
St Kilda,2,Feb,77.52,25,12.0
St Kilda,3,Mar,76.46,13,7.69
St Kilda,4,Apr,383.5,10,10.0
St Kilda,5,May,370.0,6,33.33
St Kilda,6,Jun,164.12,8,25.0
St Kilda,7,Jul,530.2,5,20.0
St Kilda,8,Aug,5.0,4,0.0
St Kilda,9,Sep,240.75,8,25.0
St Kilda,10,Oct,54.78,9,11.11
St Kilda,11,Nov,513.73,11,36.36
St Kilda,12,Dec,483.5,24,29.17
St Leonards,1,Jan,58.79,29,6.9
St Leonards,2,Feb,26.28,25,0.0
St Leonards,3,Mar,30.69,13,0.0
St Leonards,4,Apr,153.67,9,22.22
St Leonards,5,May,44.5,8,0.0
St Leonards,6,Jun,50.5,8,0.0
St Leonards,7,Jul,6.25,4,0.0
St Leonards,8,Aug,8.75,4,0.0
St Leonards,9,Sep,68.25,8,12.5
St Leonards,10,Oct,68.8,10,10.0
St Leonards,11,Nov,101.73,11,9.09
St Leonards,12,Dec,91.38,24,8.33
The Dell,1,Jan,60.66,29,6.9
The Dell,2,Feb,16.58,24,0.0
The Dell,3,Mar,56.29,14,7.14
The Dell,4,Apr,68.1,10,0.0
The Dell,5,May,40.62,8,0.0
The Dell,6,Jun,64.12,8,0.0
The Dell,7,Jul,16.25,4,0.0
The Dell,8,Aug,12.75,4,0.0
The Dell,9,Sep,41.12,8,12.5
The Dell,10,Oct,383.5,10,20.0
The Dell,11,Nov,270.82,11,18.18
The Dell,12,Dec,357.08,24,20.83
Werribee Sth,1,Jan,78.9,29,13.79
Werribee Sth,2,Feb,59.29,24,8.33
Werribee Sth,3,Mar,43.36,14,7.14
Werribee Sth,4,Apr,200.1,10,10.0
Werribee Sth,5,May,21.25,8,0.0
Werribee Sth,6,Jun,32.12,8,0.0
Werribee Sth,7,Jul,14.0,4,0.0
Werribee Sth,8,Aug,5.0,4,0.0
Werribee Sth,9,Sep,11.38,8,0.0
Werribee Sth,10,Oct,133.6,10,10.0
Werribee Sth,11,Nov,698.91,11,27.27
Werribee Sth,12,Dec,96.13,23,17.39
Williamstown,1,Jan,51.89,28,7.14
Williamstown,2,Feb,30.56,25,0.0
Williamstown,3,Mar,27.0,13,7.69
Williamstown,4,Apr,183.44,9,11.11
Williamstown,5,May,67.17,6,0.0
Williamstown,6,Jun,87.88,8,25.0
Williamstown,7,Jul,1228.75,4,25.0
Williamstown,8,Aug,273.75,4,50.0
Williamstown,9,Sep,55.88,8,12.5
Williamstown,10,Oct,13.0,9,0.0
Williamstown,11,Nov,140.82,11,18.18
Williamstown,12,Dec,70.92,24,12.5
